content,score,text_token,text_clean,content_norm,text_stopword
"Aplikasinya ringan, fitur reksa dananya lengkap, cocok untuk pemula yang mau investasi, tampilannya bagus",2,"['Aplikasinya', 'ringan,', 'fitur', 'reksa', 'dananya', 'lengkap,', 'cocok', 'untuk', 'pemula', 'yang', 'mau', 'investasi,', 'tampilannya', 'bagus']","['aplikasinya', 'ringan', 'fitur', 'reksa', 'dananya', 'lengkap', 'cocok', 'untuk', 'pemula', 'yang', 'mau', 'investasi', 'tampilannya', 'bagus']","['aplikasinya', 'ringan', 'fitur', 'reksa', 'dananya', 'lengkap', 'cocok', 'untuk', 'pemula', 'yang', 'mau', 'investasi', 'tampilannya', 'bagus']",aplikasinya ringan fitur reksa dananya lengkap cocok pemula mau investasi tampilannya bagus
"Secara umum, jika sistem aplikasi yang digunakan adalah aplikasi standar yang mirip dengan antarmuka standar. Tapi pelayanan CSnya ya ampun jelek banget. Jika saya bisa memberi bintang minus, saya akan memberi minus lima bintang. CS : LAMBAT, TIDAK SAMBUNG, TIDAK ADA SOLUSI, NYAMAN. Kalau ditanya jawabannya adalah template, seperti robot. Bahkan saat ini robot yang menggunakan AI lebih pintar dalam menjawab dibandingkan CS BAREKSA. Untuk membuka blokir aplikasinya saja harus menunggu sebulan lebih, kalau ke bank tidak akan terlihat seperti ini sampai selesai dalam sehari.",1,"['Secara', 'umum,', 'jika', 'sistem', 'aplikasi', 'yang', 'digunakan', 'adalah', 'aplikasi', 'standar', 'yang', 'mirip', 'dengan', 'antarmuka', 'standar.', 'Tapi', 'pelayanan', 'CSnya', 'ya', 'ampun', 'jelek', 'banget.', 'Jika', 'saya', 'bisa', 'memberi', 'bintang', 'minus,', 'saya', 'akan', 'memberi', 'minus', 'lima', 'bintang.', 'CS', ':', 'LAMBAT,', 'TIDAK', 'SAMBUNG,', 'TIDAK', 'ADA', 'SOLUSI,', 'NYAMAN.', 'Kalau', 'ditanya', 'jawabannya', 'adalah', 'template,', 'seperti', 'robot.', 'Bahkan', 'saat', 'ini', 'robot', 'yang', 'menggunakan', 'AI', 'lebih', 'pintar', 'dalam', 'menjawab', 'dibandingkan', 'CS', 'BAREKSA.', 'Untuk', 'membuka', 'blokir', 'aplikasinya', 'saja', 'harus', 'menunggu', 'sebulan', 'lebih,', 'kalau', 'ke', 'bank', 'tidak', 'akan', 'terlihat', 'seperti', 'ini', 'sampai', 'selesai', 'dalam', 'sehari.']","['secara', 'umum', 'jika', 'sistem', 'aplikasi', 'yang', 'digunakan', 'adalah', 'aplikasi', 'standar', 'yang', 'mirip', 'dengan', 'antarmuka', 'standar', 'tapi', 'pelayanan', 'csnya', 'ya', 'ampun', 'jelek', 'banget', 'jika', 'saya', 'bisa', 'memberi', 'bintang', 'minus', 'saya', 'akan', 'memberi', 'minus', 'lima', 'bintang', 'cs', 'lambat', 'tidak', 'sambung', 'tidak', 'ada', 'solusi', 'nyaman', 'kalau', 'ditanya', 'jawabannya', 'adalah', 'template', 'seperti', 'robot', 'bahkan', 'saat', 'ini', 'robot', 'yang', 'menggunakan', 'ai', 'lebih', 'pintar', 'dalam', 'menjawab', 'dibandingkan', 'cs', 'bareksa', 'untuk', 'membuka', 'blokir', 'aplikasinya', 'saja', 'harus', 'menunggu', 'sebulan', 'lebih', 'kalau', 'ke', 'bank', 'tidak', 'akan', 'terlihat', 'seperti', 'ini', 'sampai', 'selesai', 'dalam', 'sehari']","['secara', 'umum', 'jika', 'sistem', 'aplikasi', 'yang', 'digunakan', 'adalah', 'aplikasi', 'standard', 'yang', 'mirip', 'dengan', 'antarmuka', 'standard', 'tapi', 'pelayanan', 'csnya', 'ya', 'ampun', 'jelek', 'banget', 'jika', 'saya', 'bisa', 'memberi', 'bintang', 'minus', 'saya', 'akan', 'memberi', 'minus', 'lima', 'bintang', 'customer service', 'lambat', 'tidak', 'sambung', 'tidak', 'ada', 'solusi', 'nyaman', 'kalau', 'ditanya', 'jawabannya', 'adalah', 'template', 'seperti', 'robot', 'bahkan', 'saat', 'ini', 'robot', 'yang', 'menggunakan', 'ai', 'lebih', 'pintar', 'dalam', 'menjawab', 'dibandingkan', 'customer service', 'bareksa', 'untuk', 'membuka', 'blokir', 'aplikasinya', 'saja', 'harus', 'menunggu', 'sebulan', 'lebih', 'kalau', 'ke', 'bank', 'tidak', 'akan', 'terlihat', 'seperti', 'ini', 'sampai', 'selesai', 'dalam', 'sehari']",umum sistem aplikasi digunakan aplikasi standard mirip antarmuka standard pelayanan csnya ampun jelek banget memberi bintang minus saya akan memberi minus lima bintang customer service lambat sambung ada solusi nyaman kalau ditanya jawabannya template robot bahkan ini robot menggunakan ai lebih pintar menjawab dibandingkan customer service bareksa membuka blokir aplikasinya harus menunggu sebulan lebih kalau bank akan terlihat ini selesai sehari
"Bareksa adalah aplikasi investasi yang bagus, ringan dan jelas, informasinya lengkap dan mudah dipahami",4,"['Bareksa', 'adalah', 'aplikasi', 'investasi', 'yang', 'bagus,', 'ringan', 'dan', 'jelas,', 'informasinya', 'lengkap', 'dan', 'mudah', 'dipahami']","['bareksa', 'adalah', 'aplikasi', 'investasi', 'yang', 'bagus', 'ringan', 'dan', 'jelas', 'informasinya', 'lengkap', 'dan', 'mudah', 'dipahami']","['bareksa', 'adalah', 'aplikasi', 'investasi', 'yang', 'bagus', 'ringan', 'dan', 'jelas', 'informasinya', 'lengkap', 'dan', 'mudah', 'dipahami']",bareksa aplikasi investasi bagus ringan jelas informasinya lengkap mudah dipahami
"Mw menambahkan, rekening tersebut terus ditolak dengan alasan KTP tidak jelas, padahal KTP jelas dan terbaca, sehingga uang yang masuk ke Bareksa tidak bisa diambil. Kalau seperti ini, hanya berusaha menghasilkan uang sedikit dan sulit, apalagi jika sudah memasukkan uang banyak. Anda bisa kehilangan uang",1,"['Mw', 'menambahkan,', 'rekening', 'tersebut', 'terus', 'ditolak', 'dengan', 'alasan', 'KTP', 'tidak', 'jelas,', 'padahal', 'KTP', 'jelas', 'dan', 'terbaca,', 'sehingga', 'uang', 'yang', 'masuk', 'ke', 'Bareksa', 'tidak', 'bisa', 'diambil.', 'Kalau', 'seperti', 'ini,', 'hanya', 'berusaha', 'menghasilkan', 'uang', 'sedikit', 'dan', 'sulit,', 'apalagi', 'jika', 'sudah', 'memasukkan', 'uang', 'banyak.', 'Anda', 'bisa', 'kehilangan', 'uang']","['mw', 'menambahkan', 'rekening', 'tersebut', 'terus', 'ditolak', 'dengan', 'alasan', 'ktp', 'tidak', 'jelas', 'padahal', 'ktp', 'jelas', 'dan', 'terbaca', 'sehingga', 'uang', 'yang', 'masuk', 'ke', 'bareksa', 'tidak', 'bisa', 'diambil', 'kalau', 'seperti', 'ini', 'hanya', 'berusaha', 'menghasilkan', 'uang', 'sedikit', 'dan', 'sulit', 'apalagi', 'jika', 'sudah', 'memasukkan', 'uang', 'banyak', 'anda', 'bisa', 'kehilangan', 'uang']","['mau', 'menambahkan', 'rekening', 'tersebut', 'terus', 'ditolak', 'dengan', 'alasan', 'ktp', 'tidak', 'jelas', 'padahal', 'ktp', 'jelas', 'dan', 'terbaca', 'sehingga', 'uang', 'yang', 'masuk', 'ke', 'bareksa', 'tidak', 'bisa', 'diambil', 'kalau', 'seperti', 'ini', 'hanya', 'berusaha', 'menghasilkan', 'uang', 'sedikit', 'dan', 'sulit', 'apalagi', 'jika', 'sudah', 'memasukkan', 'uang', 'banyak', 'anda', 'bisa', 'kehilangan', 'uang']",mau menambahkan rekening tersebut terus ditolak alasan ktp jelas padahal ktp jelas terbaca uang masuk bareksa bisa diambil kalau ini berusaha menghasilkan uang sedikit sulit jika memasukkan uang banyak bisa kehilangan uang
"Performa dan tampilan aplikasi sangat bagus karena ringan, fiturnya juga bagus, terutama fitur robo Advisor yang cocok untuk pemula investasi seperti saya.",5,"['Performa', 'dan', 'tampilan', 'aplikasi', 'sangat', 'bagus', 'karena', 'ringan,', 'fiturnya', 'juga', 'bagus,', 'terutama', 'fitur', 'robo', 'Advisor', 'yang', 'cocok', 'untuk', 'pemula', 'investasi', 'seperti', 'saya.']","['performa', 'dan', 'tampilan', 'aplikasi', 'sangat', 'bagus', 'karena', 'ringan', 'fiturnya', 'juga', 'bagus', 'terutama', 'fitur', 'robo', 'advisor', 'yang', 'cocok', 'untuk', 'pemula', 'investasi', 'seperti', 'saya']","['performa', 'dan', 'tampilan', 'aplikasi', 'sangat', 'bagus', 'karena', 'ringan', 'fiturnya', 'juga', 'bagus', 'terutama', 'fitur', 'robo', 'advisor', 'yang', 'cocok', 'untuk', 'pemula', 'investasi', 'seperti', 'saya']",performa tampilan aplikasi sangat bagus ringan fiturnya bagus terutama fitur robo advisor cocok pemula investasi saya
"Kesalahan validasi muatan. Sampai ulasan ini diupload, sudah lebih dari 10 hari sejak error ini muncul dan saya laporkan ke CS namun saya masih belum mendapatkan solusinya. Error ini saya alami ketika hendak mendaftar SBN, dan pendaftarannya akan berakhir namun belum ada solusinya. Selain CS, saya sudah coba update aplikasinya tapi tetap sama. Jika registrasi berakhir tapi masih belum ada update, itu benar-benar bukan solusi!!! Jika saya bisa memberikan 0 bintang, saya akan memberikannya seperti itu!",1,"['Kesalahan', 'validasi', 'muatan.', 'Sampai', 'ulasan', 'ini', 'diupload,', 'sudah', 'lebih', 'dari', '10', 'hari', 'sejak', 'error', 'ini', 'muncul', 'dan', 'saya', 'laporkan', 'ke', 'CS', 'namun', 'saya', 'masih', 'belum', 'mendapatkan', 'solusinya.', 'Error', 'ini', 'saya', 'alami', 'ketika', 'hendak', 'mendaftar', 'SBN,', 'dan', 'pendaftarannya', 'akan', 'berakhir', 'namun', 'belum', 'ada', 'solusinya.', 'Selain', 'CS,', 'saya', 'sudah', 'coba', 'update', 'aplikasinya', 'tapi', 'tetap', 'sama.', 'Jika', 'registrasi', 'berakhir', 'tapi', 'masih', 'belum', 'ada', 'update,', 'itu', 'benar-benar', 'bukan', 'solusi!!!', 'Jika', 'saya', 'bisa', 'memberikan', '0', 'bintang,', 'saya', 'akan', 'memberikannya', 'seperti', 'itu!']","['kesalahan', 'validasi', 'muatan', 'sampai', 'ulasan', 'ini', 'diupload', 'sudah', 'lebih', 'dari', 'hari', 'sejak', 'error', 'ini', 'muncul', 'dan', 'saya', 'laporkan', 'ke', 'cs', 'namun', 'saya', 'masih', 'belum', 'mendapatkan', 'solusinya', 'error', 'ini', 'saya', 'alami', 'ketika', 'hendak', 'mendaftar', 'sbn', 'dan', 'pendaftarannya', 'akan', 'berakhir', 'namun', 'belum', 'ada', 'solusinya', 'selain', 'cs', 'saya', 'sudah', 'coba', 'update', 'aplikasinya', 'tapi', 'tetap', 'sama', 'jika', 'registrasi', 'berakhir', 'tapi', 'masih', 'belum', 'ada', 'update', 'itu', 'benarbenar', 'bukan', 'solusi', 'jika', 'saya', 'bisa', 'memberikan', 'bintang', 'saya', 'akan', 'memberikannya', 'seperti', 'itu']","['kesalahan', 'validasi', 'muatan', 'sampai', 'ulasan', 'ini', 'diupload', 'sudah', 'lebih', 'dari', 'hari', 'sejak', 'error', 'ini', 'muncul', 'dan', 'saya', 'laporkan', 'ke', 'customer service', 'namun', 'saya', 'masih', 'belum', 'mendapatkan', 'solusinya', 'error', 'ini', 'saya', 'alami', 'ketika', 'hendak', 'mendaftar', 'sbn', 'dan', 'pendaftarannya', 'akan', 'berakhir', 'namun', 'belum', 'ada', 'solusinya', 'selain', 'customer service', 'saya', 'sudah', 'coba', 'update', 'aplikasinya', 'tapi', 'tetap', 'sama', 'jika', 'registrasi', 'berakhir', 'tapi', 'masih', 'belum', 'ada', 'update', 'itu', 'benar benar', 'bukan', 'solusi', 'jika', 'saya', 'bisa', 'memberikan', 'bintang', 'saya', 'akan', 'memberikannya', 'seperti', 'itu']",kesalahan validasi muatan ulasan diupload lebih hari sejak error muncul laporkan customer service mendapatkan solusinya error saya alami hendak mendaftar sbn pendaftarannya berakhir belum solusinya customer service saya sudah coba update aplikasinya tetap sama registrasi berakhir masih belum ada update benar benar bukan solusi saya memberikan bintang saya akan memberikannya itu
"Stok fitur aplikasi tidak lengkap, tampilan biasa saja, namun aplikasi cukup ringan",3,"['Stok', 'fitur', 'aplikasi', 'tidak', 'lengkap,', 'tampilan', 'biasa', 'saja,', 'namun', 'aplikasi', 'cukup', 'ringan']","['stok', 'fitur', 'aplikasi', 'tidak', 'lengkap', 'tampilan', 'biasa', 'saja', 'namun', 'aplikasi', 'cukup', 'ringan']","['stok', 'fitur', 'aplikasi', 'tidak', 'lengkap', 'tampilan', 'biasa', 'saja', 'namun', 'aplikasi', 'cukup', 'ringan']",stok fitur aplikasi lengkap tampilan biasa namun aplikasi cukup ringan
"Tampilannya kurang jelas, apalagi di dark mode, metode pembayarannya hanya OVO dan Danamon, jadi ribet",1,"['Tampilannya', 'kurang', 'jelas,', 'apalagi', 'di', 'dark', 'mode,', 'metode', 'pembayarannya', 'hanya', 'OVO', 'dan', 'Danamon,', 'jadi', 'ribet']","['tampilannya', 'kurang', 'jelas', 'apalagi', 'di', 'dark', 'mode', 'metode', 'pembayarannya', 'hanya', 'ovo', 'dan', 'danamon', 'jadi', 'ribet']","['tampilannya', 'kurang', 'jelas', 'apalagi', 'di', 'dark', 'mode', 'metode', 'pembayarannya', 'hanya', 'ovo', 'dan', 'danamon', 'jadi', 'ribet']",tampilannya kurang jelas di dark mode metode pembayarannya ovo danamon jadi ribet
"Saya telah menggunakan aplikasi ini sejak tahun 2016. Dan saya merasa seiring berjalannya waktu aplikasi ini semakin membaik, walaupun terkadang ada sedikit kendala namun bagi saya masih normal. Pengalaman saya, ketika ada masalah, CS sudah memberikan solusi yang cukup baik. Semoga kedepannya kita bisa berjalan lebih baik lagi. Dan saya berharap aplikasi Bareksa tetap dapat menjadi salah satu aplikasi terbaik untuk investasi kedepannya",5,"['Saya', 'telah', 'menggunakan', 'aplikasi', 'ini', 'sejak', 'tahun', '2016.', 'Dan', 'saya', 'merasa', 'seiring', 'berjalannya', 'waktu', 'aplikasi', 'ini', 'semakin', 'membaik,', 'walaupun', 'terkadang', 'ada', 'sedikit', 'kendala', 'namun', 'bagi', 'saya', 'masih', 'normal.', 'Pengalaman', 'saya,', 'ketika', 'ada', 'masalah,', 'CS', 'sudah', 'memberikan', 'solusi', 'yang', 'cukup', 'baik.', 'Semoga', 'kedepannya', 'kita', 'bisa', 'berjalan', 'lebih', 'baik', 'lagi.', 'Dan', 'saya', 'berharap', 'aplikasi', 'Bareksa', 'tetap', 'dapat', 'menjadi', 'salah', 'satu', 'aplikasi', 'terbaik', 'untuk', 'investasi', 'kedepannya']","['saya', 'telah', 'menggunakan', 'aplikasi', 'ini', 'sejak', 'tahun', 'dan', 'saya', 'merasa', 'seiring', 'berjalannya', 'waktu', 'aplikasi', 'ini', 'semakin', 'membaik', 'walaupun', 'terkadang', 'ada', 'sedikit', 'kendala', 'namun', 'bagi', 'saya', 'masih', 'normal', 'pengalaman', 'saya', 'ketika', 'ada', 'masalah', 'cs', 'sudah', 'memberikan', 'solusi', 'yang', 'cukup', 'baik', 'semoga', 'kedepannya', 'kita', 'bisa', 'berjalan', 'lebih', 'baik', 'lagi', 'dan', 'saya', 'berharap', 'aplikasi', 'bareksa', 'tetap', 'dapat', 'menjadi', 'salah', 'satu', 'aplikasi', 'terbaik', 'untuk', 'investasi', 'kedepannya']","['saya', 'telah', 'menggunakan', 'aplikasi', 'ini', 'sejak', 'tahun', 'dan', 'saya', 'merasa', 'seiring', 'berjalannya', 'waktu', 'aplikasi', 'ini', 'semakin', 'membaik', 'walaupun', 'terkadang', 'ada', 'sedikit', 'kendala', 'namun', 'bagi', 'saya', 'masih', 'normal', 'pengalaman', 'saya', 'ketika', 'ada', 'masalah', 'customer service', 'sudah', 'memberikan', 'solusi', 'yang', 'cukup', 'baik', 'semoga', 'kedepannya', 'kita', 'bisa', 'berjalan', 'lebih', 'baik', 'lagi', 'dan', 'saya', 'berharap', 'aplikasi', 'bareksa', 'tetap', 'dapat', 'menjadi', 'salah', 'satu', 'aplikasi', 'terbaik', 'untuk', 'investasi', 'kedepannya']",telah menggunakan aplikasi sejak tahun merasa seiring berjalannya waktu aplikasi semakin membaik walaupun terkadang sedikit kendala bagi masih normal pengalaman ketika masalah customer service memberikan solusi cukup baik semoga kedepannya bisa berjalan lebih baik dan saya berharap aplikasi bareksa tetap menjadi salah satu aplikasi terbaik investasi kedepannya
"Setelah menghubungi Cs. Lewat telpon akhirnya dapat solusi, akhirnya setelah update aplikasi Bareksanya bisa dibuka, terima kasih atas pelayanannya, padahal saya menunggu seminggu lebih untuk mengatasi masalah error tersebut.",5,"['Setelah', 'menghubungi', 'Cs.', 'Lewat', 'telpon', 'akhirnya', 'dapat', 'solusi,', 'akhirnya', 'setelah', 'update', 'aplikasi', 'Bareksanya', 'bisa', 'dibuka,', 'terima', 'kasih', 'atas', 'pelayanannya,', 'padahal', 'saya', 'menunggu', 'seminggu', 'lebih', 'untuk', 'mengatasi', 'masalah', 'error', 'tersebut.']","['setelah', 'menghubungi', 'cs', 'lewat', 'telpon', 'akhirnya', 'dapat', 'solusi', 'akhirnya', 'setelah', 'update', 'aplikasi', 'bareksanya', 'bisa', 'dibuka', 'terima', 'kasih', 'atas', 'pelayanannya', 'padahal', 'saya', 'menunggu', 'seminggu', 'lebih', 'untuk', 'mengatasi', 'masalah', 'error', 'tersebut']","['setelah', 'menghubungi', 'customer service', 'lewat', 'telepon', 'akhirnya', 'dapat', 'solusi', 'akhirnya', 'setelah', 'update', 'aplikasi', 'bareksanya', 'bisa', 'dibuka', 'terima', 'kasih', 'atas', 'pelayanannya', 'padahal', 'saya', 'menunggu', 'seminggu', 'lebih', 'untuk', 'mengatasi', 'masalah', 'error', 'tersebut']",menghubungi customer service lewat telepon akhirnya solusi akhirnya update aplikasi bareksanya dibuka terima kasih atas pelayanannya padahal menunggu seminggu lebih mengatasi masalah error tersebut
