Tidak Baku,Baku
aaaasudahlah,ya sudahlah
aaja,aja
abalabal,abal abal
abalberulangkali,aba berulang kali
abalsangat,abal sangat
abdet,update
abdete,update
abis,habis
abisaneh,abis aneh
acan,scan
acarasama,acara sama
ach,ah
ad,ada
adaini,ada ini
adapadahal,ada padahal
adapula,ada pula
adasambung,ada sambung
adh,ada
adminnnn,admin
adminya,adminnya
aee,ae
afk,aplikasi
aflikasi,aplikasi
afnya,aplikasinya
aga,agak
agak,cukup
agk,agak
ahar,agar
ahh,ah
ahhh,ah
ahhhh,ah
ahirnya,akhirnya
ahp,a hp
aikasinya,aplikasinya
aing,saya
aj,aja
ajaa,aja
ajaa,aja
ajaaaa,aja
ajabantu,aja bantu
ajadaftarnya,aja daftarnya
ajah,aja
ajaharus,aja harus
ajakalah,aja kalah
ajaklo,aja kalau
ajalahgpy,ajalah tida papa
ajamalah,aja malah
ajamana,aja mana
ajamau,aja mau
ajangisi,aja ngisi
ajapendaftaran,aja pendaftaran
ajasangat,aja sangat
ajatolong,aja tolong
aje,aja
ajee,aja
ajg,anjing
ajh,aja
ajig,anjing
ajja,aja
ajkok,aja kok
ajq,anjing
akaldaftar,akal daftar
akhhh,ah
akhire,akhirnya
akorban,a korban
aktfkan,aktifkan
aktifasi,aktivasi
aktifitas,aktivitas
aku,saya
aku,saya
akunreset,akun reset
al hamdulillah,alhamdulillah
alamiaplikasi,alami aplikasi
alangk,alangkah
alesan,alasan
alesannya,alasannya
alesanya,alasannya
alfikasi,aplikasi
algoritmyanya,algoritmanya
alhamdulilah,alhamdulillah
alhamdulillahsudah,alhamdulillah sudah
alikasi,aplikasi
alloh,allah
alternatifnyacuman,alternatifnya cuman
ama,sama
ambilsiapa,ambil siapa
amin,aamiin
ampasss,ampas
ampe,sampai
amplikasine,aplikasinya
ampunda,ampun dah
ampunjangan,ampun jangan
ampunkarena,ampun karena
ampunmasuk,ampun masuk
ampunmau,ampun mau
ampunnn,ampun
ampunnnnn,ampun
ampunsering,ampun sering
ampunsudah,ampun sudah
ampuntolong,ampun tolong
andata,an data
androidada,android ada
androidpusing,android pusing
ane,saya
anee,saya
aneeeh,aneh
aneeh,aneh
anehaneh,aneh aneh
anehburuk,aneh buruk
anehh,aneh
anehhh,aneh
angeeel,angel
angellllll,angel
anggarab,anggaran
angus,hangus
anj,anjing
anjayyy,anjing
anjeng,anjing
anjg,anjing
anjinggg,anjing
anjingggg,anjing
