text asli,text_prepro,compound scores,Sentimen
aplikasinya ringan fitur reksa dananya lengkap cocok pemula mau investasi tampilannya bagus,aplikasi ringan fitur reksa dana lengkap cocok mula mau investasi tampil bagus,16,Positif
umum sistem aplikasi digunakan aplikasi standard mirip antarmuka standard pelayanan csnya ampun jelek banget memberi bintang minus saya akan memberi minus lima bintang customer service lambat sambung ada solusi nyaman kalau ditanya jawabannya template robot bahkan ini robot menggunakan ai lebih pintar menjawab dibandingkan customer service bareksa membuka blokir aplikasinya harus menunggu sebulan lebih kalau bank akan terlihat ini selesai sehari,umum sistem aplikasi guna aplikasi standard mirip antarmuka standard layan csnya ampun jelek banget beri bintang minus saya akan beri minus lima bintang customer service lambat sambung ada solusi nyaman kalau tanya jawab template robot bahkan ini robot guna ai lebih pintar jawab banding customer service bareksa buka blokir aplikasi harus tunggu bulan lebih kalau bank akan lihat ini selesai hari,-11,Negatif
bareksa aplikasi investasi bagus ringan jelas informasinya lengkap mudah dipahami,bareksa aplikasi investasi bagus ringan jelas informasi lengkap mudah paham,9,Positif
mau menambahkan rekening tersebut terus ditolak alasan ktp jelas padahal ktp jelas terbaca uang masuk bareksa bisa diambil kalau ini berusaha menghasilkan uang sedikit sulit jika memasukkan uang banyak bisa kehilangan uang,mau tambah rekening sebut terus tolak alas ktp jelas padahal ktp jelas baca uang masuk bareksa bisa ambil kalau ini usaha hasil uang sedikit sulit jika masuk uang banyak bisa hilang uang,-1,Negatif
performa tampilan aplikasi sangat bagus ringan fiturnya bagus terutama fitur robo advisor cocok pemula investasi saya,performa tampil aplikasi sangat bagus ringan fiturnya bagus utama fitur robo advisor cocok mula investasi saya,4,Positif
kesalahan validasi muatan ulasan diupload lebih hari sejak error muncul laporkan customer service mendapatkan solusinya error saya alami hendak mendaftar sbn pendaftarannya berakhir belum solusinya customer service saya sudah coba update aplikasinya tetap sama registrasi berakhir masih belum ada update benar benar bukan solusi saya memberikan bintang saya akan memberikannya itu,salah validasi muat ulas diupload lebih hari sejak error muncul lapor customer service dapat solusi error saya alami hendak daftar sbn daftar akhir belum solusi customer service saya sudah coba update aplikasi tetap sama registrasi akhir masih belum ada update benar benar bukan solusi saya beri bintang saya akan beri itu,-11,Negatif
stok fitur aplikasi lengkap tampilan biasa namun aplikasi cukup ringan,stok fitur aplikasi lengkap tampil biasa namun aplikasi cukup ringan,0,Positif
tampilannya kurang jelas di dark mode metode pembayarannya ovo danamon jadi ribet,tampil kurang jelas di dark mode metode bayar ovo danamon jadi ribet,-9,Negatif
telah menggunakan aplikasi sejak tahun merasa seiring berjalannya waktu aplikasi semakin membaik walaupun terkadang sedikit kendala bagi masih normal pengalaman ketika masalah customer service memberikan solusi cukup baik semoga kedepannya bisa berjalan lebih baik dan saya berharap aplikasi bareksa tetap menjadi salah satu aplikasi terbaik investasi kedepannya,telah guna aplikasi sejak tahun rasa iring jalan waktu aplikasi makin baik walaupun terkadang sedikit kendala bagi masih normal alam ketika masalah customer service beri solusi cukup baik moga depan bisa jalan lebih baik dan saya harap aplikasi bareksa tetap jadi salah satu aplikasi baik investasi depan,2,Positif
menghubungi customer service lewat telepon akhirnya solusi akhirnya update aplikasi bareksanya dibuka terima kasih atas pelayanannya padahal menunggu seminggu lebih mengatasi masalah error tersebut,hubung customer service lewat telepon akhir solusi akhir update aplikasi bareksanya buka terima kasih atas layan padahal tunggu minggu lebih atas masalah error sebut,-8,Negatif
